timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2024-06-05,BTC-USDT,sell,70950.7969,0.010571,signal,0.0,0,0.0
2024-06-07,BTC-USDT,buy,69533.7495,0.010571,signal,14.9796,2,3.0
2024-06-19,BTC-USDT,buy,65552.76,0.011615,signal,0.0,0,0.0
2024-06-22,BTC-USDT,sell,64397.795,0.011615,signal,-13.4149,2,-2.64
2024-06-22,BTC-USDT,buy,64358.153,0.011658,signal,0.0,0,0.0
2024-06-24,BTC-USDT,sell,61272.7583,0.011658,signal,-35.9695,2,-7.19
2024-07-05,BTC-USDT,buy,56481.4166,0.012791,signal,0.0,0,0.0
2024-07-08,BTC-USDT,sell,55829.8811,0.012791,signal,-8.3338,2,-1.73
2024-07-09,BTC-USDT,buy,57455.1732,0.012449,signal,0.0,0,0.0
2024-07-10,BTC-USDT,sell,57684.1735,0.012449,signal,2.8508,1,0.6
2024-07-10,BTC-USDT,buy,57437.9346,0.01248,signal,0.0,0,0.0
2024-07-12,BTC-USDT,sell,57311.2201,0.01248,signal,-1.5814,1,-0.33
2024-07-12,BTC-USDT,buy,56978.475,0.012548,signal,0.0,0,0.0
2024-07-13,BTC-USDT,sell,59434.7977,0.012548,signal,30.8219,1,6.47
2024-07-14,BTC-USDT,buy,60216.093,0.012246,signal,0.0,0,0.0
2024-07-15,BTC-USDT,sell,63186.451,0.012246,signal,36.375,1,7.4
2024-07-29,BTC-USDT,sell,67386.28,0.011338,signal,0.0,0,0.0
2024-07-30,BTC-USDT,buy,66255.111,0.011338,signal,12.8252,1,2.52
2024-08-06,BTC-USDT,buy,55239.586,0.014001,signal,0.0,0,0.0
2024-08-09,BTC-USDT,sell,60733.2082,0.014001,signal,76.9162,3,14.92
2024-08-12,BTC-USDT,buy,58613.312,0.014159,signal,0.0,0,0.0
2024-08-18,BTC-USDT,sell,59320.325,0.014159,signal,10.0106,6,1.81
2024-08-19,BTC-USDT,buy,58593.282,0.014256,signal,0.0,0,0.0
2024-08-22,BTC-USDT,sell,60404.8225,0.014256,signal,25.8253,3,4.64
2024-08-28,BTC-USDT,buy,59413.3218,0.014362,signal,0.0,0,0.0
2024-08-30,BTC-USDT,sell,59207.8813,0.014362,signal,-2.9505,2,-0.52
2024-08-31,BTC-USDT,buy,59314.6425,0.014329,signal,0.0,0,0.0
2024-09-01,BTC-USDT,sell,58172.0094,0.014329,signal,-16.3728,1,-2.89
2024-09-01,BTC-USDT,buy,57959.9655,0.01444,signal,0.0,0,0.0
2024-09-03,BTC-USDT,sell,57836.0675,0.01444,signal,-1.7891,2,-0.32
2024-09-04,BTC-USDT,buy,57906.949,0.014412,signal,0.0,0,0.0
2024-09-05,BTC-USDT,sell,56076.9375,0.014412,signal,-26.3741,1,-4.74
2024-09-06,BTC-USDT,buy,56206.099,0.014484,signal,0.0,0,0.0
2024-09-10,BTC-USDT,sell,57587.0521,0.014484,signal,20.0017,4,3.69
2024-10-15,BTC-USDT,sell,65833.5468,0.012571,signal,0.0,0,0.0
2024-12-03,BTC-USDT,buy,96165.8189,0.012571,signal,-381.307,49,-69.11
2024-12-04,BTC-USDT,sell,96167.892,0.005783,signal,0.0,0,0.0
2024-12-06,BTC-USDT,buy,100554.252,0.005783,signal,-25.3663,2,-6.84
2024-12-08,BTC-USDT,sell,99798.4258,0.005383,signal,0.0,0,0.0
2024-12-10,BTC-USDT,buy,95706.6194,0.005383,signal,22.0262,2,6.15
2025-01-10,BTC-USDT,buy,94840.4665,0.00584,signal,0.0,0,0.0
2025-01-11,BTC-USDT,sell,94572.69,0.00584,signal,-1.5638,1,-0.42
2025-02-01,BTC-USDT,buy,101726.828,0.005428,signal,0.0,0,0.0
2025-02-04,BTC-USDT,sell,97642.3544,0.005428,signal,-22.1705,3,-6.02
2025-02-05,BTC-USDT,buy,97898.7349,0.005462,signal,0.0,0,0.0
2025-02-18,BTC-USDT,sell,95256.7678,0.005462,signal,-14.4304,13,-4.05
2025-02-20,BTC-USDT,buy,96816.0538,0.005386,signal,0.0,0,0.0
2025-02-27,BTC-USDT,sell,86222.7071,0.005386,signal,-57.0558,7,-16.41
2025-02-27,BTC-USDT,buy,86212.8949,0.005537,signal,0.0,0,0.0
2025-02-28,BTC-USDT,sell,82064.0075,0.005537,signal,-22.9724,1,-7.22
2025-02-28,BTC-USDT,buy,83646.9126,0.005496,signal,0.0,0,0.0
2025-03-06,BTC-USDT,sell,89759.088,0.005496,signal,33.5925,5,10.96
2025-03-07,BTC-USDT,buy,88307.9719,0.005479,signal,0.0,0,0.0
2025-03-10,BTC-USDT,sell,82292.6431,0.005479,signal,-32.958,3,-10.22
2025-03-10,BTC-USDT,buy,82555.5271,0.005553,signal,0.0,0,0.0
2025-03-11,BTC-USDT,sell,79733.1635,0.005553,signal,-15.6726,1,-5.13
2025-03-12,BTC-USDT,buy,83355.2568,0.005354,signal,0.0,0,0.0
2025-03-14,BTC-USDT,sell,83483.0376,0.005354,signal,0.6841,2,0.23
2025-03-14,BTC-USDT,buy,84407.3626,0.005287,signal,0.0,0,0.0
2025-03-20,BTC-USDT,sell,85716.4104,0.005287,signal,6.9209,5,2.33
2025-03-22,BTC-USDT,buy,84455.8368,0.005334,signal,0.0,0,0.0
2025-03-24,BTC-USDT,sell,87917.919,0.005334,signal,18.4667,2,6.15
2025-03-30,BTC-USDT,buy,82982.6106,0.005589,signal,0.0,0,0.0
2025-03-31,BTC-USDT,sell,83457.4304,0.005589,signal,2.6538,1,0.86
2025-04-05,BTC-USDT,buy,82910.9648,0.005612,signal,0.0,0,0.0
2025-04-06,BTC-USDT,sell,78024.6382,0.005612,signal,-27.4221,1,-8.84
2025-04-09,BTC-USDT,buy,77229.7556,0.005754,signal,0.0,0,0.0
2025-04-10,BTC-USDT,sell,81231.5539,0.005754,signal,23.0263,1,7.77
2025-04-11,BTC-USDT,buy,82491.225,0.005591,signal,0.0,0,0.0
2025-04-12,BTC-USDT,sell,84785.3361,0.005591,signal,12.8264,1,4.17
2025-05-09,BTC-USDT,sell,102544.2023,0.004588,signal,0.0,0,0.0
2025-05-15,BTC-USDT,buy,102298.5337,0.004588,signal,1.1271,6,0.36
2025-05-18,BTC-USDT,sell,104784.2417,0.004504,signal,0.0,0,0.0
2025-05-19,BTC-USDT,buy,105602.695,0.004504,signal,-3.6863,1,-1.17
2025-05-21,BTC-USDT,sell,106446.75,0.004406,signal,0.0,0,0.0
2025-05-24,BTC-USDT,buy,108154.5503,0.004406,signal,-7.5246,3,-2.41
2025-05-25,BTC-USDT,sell,107874.8356,0.004298,signal,0.0,0,0.0
2025-05-26,BTC-USDT,buy,109983.3342,0.004298,signal,-9.0623,1,-2.93
2025-05-26,BTC-USDT,sell,109657.7037,0.004165,signal,0.0,0,0.0
2025-05-28,BTC-USDT,buy,108992.6391,0.004165,signal,2.77,1,0.91
2025-05-29,BTC-USDT,sell,106250.4482,0.004317,signal,0.0,0,0.0
2025-05-30,BTC-USDT,buy,104018.3032,0.004317,signal,9.6362,1,3.15
2025-06-10,BTC-USDT,sell,109248.9582,0.004264,signal,0.0,0,0.0
2025-06-12,BTC-USDT,buy,107074.4705,0.004264,signal,9.272,2,2.99
2025-07-10,BTC-USDT,sell,111158.303,0.004254,signal,0.0,0,0.0
2025-07-16,BTC-USDT,buy,118698.6597,0.004254,signal,-32.0767,6,-10.18
2025-07-17,BTC-USDT,sell,118090.6351,0.003806,signal,0.0,0,0.0
2025-07-21,BTC-USDT,buy,117407.6445,0.003806,signal,2.5995,4,0.87
2025-07-22,BTC-USDT,sell,117691.135,0.003839,signal,0.0,0,0.0
2025-07-24,BTC-USDT,buy,118339.14,0.003839,signal,-2.4877,2,-0.83
2025-07-26,BTC-USDT,sell,117095.1631,0.003843,signal,0.0,0,0.0
2025-07-31,BTC-USDT,buy,116068.6053,0.003843,signal,3.9451,5,1.32
2025-08-13,BTC-USDT,sell,120435.752,0.003765,signal,0.0,0,0.0
2025-08-15,BTC-USDT,buy,117760.841,0.003765,signal,10.071,2,3.33
2025-08-18,BTC-USDT,buy,115116.1093,0.004005,signal,0.0,0,0.0
2025-08-19,BTC-USDT,sell,113729.4968,0.004005,signal,-5.5534,1,-1.81
2025-08-29,BTC-USDT,buy,108199.4727,0.004219,signal,0.0,0,0.0
2025-08-30,BTC-USDT,sell,108476.8644,0.004219,signal,1.1703,1,0.38
2025-08-31,BTC-USDT,buy,109279.4924,0.004181,signal,0.0,0,0.0
2025-09-01,BTC-USDT,sell,108010.7276,0.004181,signal,-5.3047,1,-1.74
2025-09-03,BTC-USDT,buy,111427.686,0.004062,signal,0.0,0,0.0
2025-09-04,BTC-USDT,sell,110408.1283,0.004062,signal,-4.1414,1,-1.37
2025-09-06,BTC-USDT,buy,110923.1439,0.004048,signal,0.0,0,0.0
2025-09-07,BTC-USDT,sell,110698.0333,0.004048,signal,-0.9112,1,-0.3
2025-09-20,BTC-USDT,buy,115730.6364,0.003871,signal,0.0,0,0.0
2025-09-22,BTC-USDT,sell,112744.3696,0.003871,signal,-11.5598,1,-3.87
2025-09-25,BTC-USDT,buy,112717.5706,0.003893,signal,0.0,0,0.0
2025-09-26,BTC-USDT,sell,109265.36,0.003893,signal,-13.4395,1,-4.59
2025-09-27,BTC-USDT,buy,109486.636,0.003912,signal,0.0,0,0.0
2025-09-28,BTC-USDT,sell,109458.3035,0.003912,signal,-0.1108,1,-0.04
2025-10-05,BTC-USDT,sell,122966.496,0.003479,signal,0.0,0,0.0
2025-10-06,BTC-USDT,buy,125062.5,0.003479,signal,-7.292,1,-2.56
2025-10-11,BTC-USDT,buy,112061.5628,0.003768,signal,0.0,0,0.0
2025-10-23,BTC-USDT,sell,110191.8065,0.003768,signal,-7.0452,11,-2.5
2025-10-26,BTC-USDT,buy,112533.3486,0.003691,signal,0.0,0,0.0
2025-10-27,BTC-USDT,sell,114752.655,0.003691,signal,8.1915,1,2.96
2025-10-30,BTC-USDT,buy,111041.423,0.003792,signal,0.0,0,0.0
2025-11-01,BTC-USDT,sell,110016.3643,0.003792,signal,-3.887,2,-1.38
2025-11-09,BTC-USDT,buy,101684.0666,0.004108,signal,0.0,0,0.0
2025-11-10,BTC-USDT,sell,106168.7791,0.004108,signal,18.4232,1,6.62
2025-11-11,BTC-USDT,buy,105024.1058,0.004105,signal,0.0,0,0.0
2025-11-14,BTC-USDT,sell,97520.3454,0.004105,signal,-30.8029,2,-10.72
2025-11-23,BTC-USDT,buy,86109.2731,0.004732,signal,0.0,0,0.0
2025-11-28,BTC-USDT,sell,91255.0397,0.004732,signal,24.3498,4,8.96
2025-12-02,BTC-USDT,buy,86597.7372,0.004906,signal,0.0,0,0.0
2025-12-03,BTC-USDT,sell,93385.0941,0.004906,signal,33.2988,1,11.76
2025-12-06,BTC-USDT,buy,89757.7064,0.005008,signal,0.0,0,0.0
2025-12-07,BTC-USDT,sell,89552.2315,0.005008,signal,-1.029,1,-0.34
2025-12-08,BTC-USDT,buy,90956.1553,0.004929,signal,0.0,0,0.0
2025-12-09,BTC-USDT,sell,90121.7666,0.004929,signal,-4.1127,1,-1.38
2025-12-13,BTC-USDT,buy,90277.8864,0.004927,signal,0.0,0,0.0
2025-12-14,BTC-USDT,sell,90200.4772,0.004927,signal,-0.3814,1,-0.13
2025-12-15,BTC-USDT,buy,89910.0626,0.00494,signal,0.0,0,0.0
2025-12-16,BTC-USDT,sell,87254.351,0.00494,signal,-13.1192,1,-4.43
2025-12-18,BTC-USDT,buy,87385.671,0.004966,signal,0.0,0,0.0
2025-12-19,BTC-USDT,sell,87907.8841,0.004966,signal,2.5933,1,0.9
2026-01-18,BTC-USDT,sell,95228.0921,0.004573,signal,0.0,0,0.0
2026-01-19,BTC-USDT,buy,92858.8362,0.004573,signal,10.8346,1,3.73
