timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2024-05-22,BTC-USDT,sell,69952.4563,0.010722,signal,0.0,0,0.0
2024-05-23,BTC-USDT,buy,67782.4943,0.010722,signal,23.2663,1,4.65
2024-06-05,BTC-USDT,sell,70858.7529,0.010828,signal,0.0,0,0.0
2024-06-06,BTC-USDT,buy,71500.2923,0.010828,signal,-6.9466,1,-1.36
2024-08-07,BTC-USDT,buy,57351.6515,0.013284,signal,0.0,0,0.0
2024-08-08,BTC-USDT,sell,58892.7889,0.013284,signal,20.4725,1,4.03
2024-08-14,BTC-USDT,buy,59197.9542,0.013118,signal,0.0,0,0.0
2024-08-17,BTC-USDT,sell,59505.6023,0.013118,signal,4.0357,2,0.78
2024-08-19,BTC-USDT,buy,58035.6033,0.013414,signal,0.0,0,0.0
2024-08-20,BTC-USDT,sell,58796.1172,0.013414,signal,10.2015,1,1.97
2024-08-21,BTC-USDT,buy,59393.0017,0.013224,signal,0.0,0,0.0
2024-08-22,BTC-USDT,sell,60732.5385,0.013224,signal,17.714,1,3.38
2024-08-28,BTC-USDT,buy,59413.3218,0.013431,signal,0.0,0,0.0
2024-08-29,BTC-USDT,sell,59540.8647,0.013431,signal,1.713,1,0.32
2024-09-07,BTC-USDT,buy,54278.2356,0.014713,signal,0.0,0,0.0
2024-09-10,BTC-USDT,sell,56567.712,0.014713,signal,33.6851,3,6.33
2024-11-10,BTC-USDT,sell,79328.306,0.01037,signal,0.0,0,0.0
2024-11-15,BTC-USDT,buy,87369.2528,0.01037,signal,-83.3846,4,-15.2
2024-11-17,BTC-USDT,sell,90227.5936,0.008432,signal,0.0,0,0.0
2024-11-18,BTC-USDT,buy,92107.8709,0.008432,signal,-15.8545,1,-3.13
2024-11-18,BTC-USDT,sell,91664.7347,0.008168,signal,0.0,0,0.0
2024-11-21,BTC-USDT,buy,94333.7033,0.008168,signal,-21.8001,2,-4.37
2024-11-24,BTC-USDT,sell,97887.5018,0.007483,signal,0.0,0,0.0
2024-11-28,BTC-USDT,buy,95054.6536,0.007483,signal,21.1982,4,4.34
2024-11-29,BTC-USDT,sell,95872.05,0.007812,signal,0.0,0,0.0
2024-12-06,BTC-USDT,buy,100554.252,0.007812,signal,-36.5774,7,-7.33
2024-12-07,BTC-USDT,sell,99994.2878,0.007228,signal,0.0,0,0.0
2024-12-10,BTC-USDT,buy,95706.6194,0.007228,signal,30.9913,3,6.43
2025-03-01,BTC-USDT,buy,85422.68,0.008737,signal,0.0,0,0.0
2025-03-02,BTC-USDT,sell,87384.286,0.008737,signal,17.1386,1,3.44
2025-10-12,BTC-USDT,buy,113856.89,0.006662,signal,0.0,0,0.0
2025-10-13,BTC-USDT,sell,115449.4464,0.006662,signal,10.6096,1,2.1
2025-10-18,BTC-USDT,buy,106977.9322,0.007159,signal,0.0,0,0.0
2025-10-19,BTC-USDT,sell,108432.4666,0.007159,signal,10.413,1,2.04
2025-11-25,BTC-USDT,buy,87776.7064,0.008805,signal,0.0,0,0.0
2025-11-26,BTC-USDT,sell,87891.0825,0.008805,signal,1.0071,1,0.2
2026-02-02,BTC-USDT,buy,79028.1443,0.00978,signal,0.0,0,0.0
2026-02-03,BTC-USDT,sell,75670.9656,0.00978,signal,-32.8332,1,-6.37
2026-02-06,BTC-USDT,buy,66000.4938,0.011328,signal,0.0,0,0.0
2026-02-08,BTC-USDT,sell,71153.3955,0.011328,signal,58.3721,2,11.71
2026-02-10,BTC-USDT,buy,70522.0634,0.011209,signal,0.0,0,0.0
2026-02-12,BTC-USDT,sell,67543.2315,0.011209,signal,-33.3897,2,-6.34
2026-02-23,BTC-USDT,buy,66438.1225,0.011506,signal,0.0,0,0.0
2026-02-24,BTC-USDT,sell,63422.273,0.011506,signal,-34.7004,1,-6.81
2026-02-27,BTC-USDT,buy,67389.3979,0.010948,signal,0.0,0,0.0
2026-02-28,BTC-USDT,sell,64808.7494,0.010948,signal,-28.2529,1,-5.74
2026-03-04,BTC-USDT,buy,68357.4917,0.010473,signal,0.0,0,0.0
2026-03-05,BTC-USDT,sell,72019.4723,0.010473,signal,38.3519,1,8.04
2026-03-09,BTC-USDT,buy,66229.108,0.011234,signal,0.0,0,0.0
2026-03-10,BTC-USDT,sell,70370.807,0.011234,signal,46.5278,1,9.38
2026-03-11,BTC-USDT,buy,70106.2956,0.0111,signal,0.0,0,0.0
2026-03-14,BTC-USDT,sell,70894.545,0.0111,signal,8.7496,2,1.69
2026-03-15,BTC-USDT,buy,71827.0056,0.01091,signal,0.0,0,0.0
2026-03-16,BTC-USDT,sell,73528.7572,0.01091,signal,18.5661,1,3.55
2026-03-18,BTC-USDT,buy,74376.0995,0.010714,signal,0.0,0,0.0
2026-03-19,BTC-USDT,sell,70156.0644,0.010714,signal,-45.2135,1,-8.51
2026-03-22,BTC-USDT,buy,68652.8793,0.011103,signal,0.0,0,0.0
2026-03-23,BTC-USDT,sell,70744.8299,0.011103,signal,23.2269,1,4.57
2026-03-27,BTC-USDT,buy,67729.6579,0.011502,signal,0.0,0,0.0
2026-03-29,BTC-USDT,sell,66556.3452,0.011502,signal,-13.4954,2,-2.6
2026-04-02,BTC-USDT,buy,67015.481,0.01146,signal,0.0,0,0.0
2026-04-03,BTC-USDT,sell,66855.3156,0.01146,signal,-1.8355,1,-0.36
2026-04-11,BTC-USDT,buy,72990.8672,0.010494,signal,0.0,0,0.0
2026-04-13,BTC-USDT,sell,70982.1512,0.010494,signal,-21.0795,2,-4.13
2026-04-13,BTC-USDT,buy,72184.9444,0.01038,signal,0.0,0,0.0
2026-04-17,BTC-USDT,sell,75116.7029,0.01038,signal,30.4317,3,6.09
2026-04-17,BTC-USDT,buy,77198.4599,0.009986,signal,0.0,0,0.0
2026-04-20,BTC-USDT,sell,75936.2529,0.009986,signal,-12.6044,3,-2.45
